term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Hours spent in CVT courses by NACE Rev. 2 activity - hours per 1000 hours worked in enterprises providing CVT courses,hours spent in cvt courses by nace rev. 2 activity - hours per 1000 hours worked in enterprises providing cvt courses,Other or multidisciplinary,0.034207,"Business, industry and trade",0.016608,0.017599,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0342; margin=0.0176,1,1,
Self-reported use of home care services by people with severe difficulty in personal care activities by age and household type,self-reported use of home care services by people with severe difficulty in personal care activities by age and household type,Other or multidisciplinary,0.034071,"Income, poverty and living conditions",0.022036,0.012035,low,low_similarity_fallback,,,Best profile: Health; score=0.0341; margin=0.0120,1,1,
Ever-working women who have experienced sexual harassment at work by frequency,ever-working women who have experienced sexual harassment at work by frequency,Other or multidisciplinary,0.034053,Housing and construction,0.0,0.034053,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0341; margin=0.0341,1,1,
Relative incidence rate of accidental injuries at work by severity working hours and sex EU mean rate = 100 for each severity,relative incidence rate of accidental injuries at work by severity working hours and sex eu mean rate = 100 for each severity,Other or multidisciplinary,0.034024,Demography and population,0.014943,0.019081,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0340; margin=0.0191,1,1,
Portfolio investement - annual data million units of national currency,portfolio investement - annual data million units of national currency,Other or multidisciplinary,0.033966,Housing and construction,0.0,0.033966,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0340; margin=0.0340,1,1,
HICP - services,hicp - services,Other or multidisciplinary,0.033898,Housing and construction,0.0,0.033898,low,low_similarity_fallback,,,Best profile: Health; score=0.0339; margin=0.0339,1,1,
Use and risk of chemical pesticides,use and risk of chemical pesticides,Other or multidisciplinary,0.033865,"Agriculture, forestry and fisheries",0.021613,0.012252,low,low_similarity_fallback,,,"Best profile: Science, technology and digital society; score=0.0339; margin=0.0123",1,1,
Confidence indicators by sector,confidence indicators by sector,Other or multidisciplinary,0.033748,Housing and construction,0.0,0.033748,low,low_similarity_fallback,,,Best profile: Environment and climate; score=0.0337; margin=0.0337,1,1,
Seats held by women in national parliaments and governments,seats held by women in national parliaments and governments,Other or multidisciplinary,0.033625,Housing and construction,0.0,0.033625,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0336; margin=0.0336,1,1,
Ever-working women who have experienced sexual harassment at work by age group,ever-working women who have experienced sexual harassment at work by age group,Other or multidisciplinary,0.033603,Housing and construction,0.0,0.033603,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0336; margin=0.0336,1,1,
Enterprises by type of buyer power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics,enterprises by type of buyer power asymmetry in the global value chain and nace rev.2 activity aggregate - experimental statistics,Other or multidisciplinary,0.033488,Energy,0.031791,0.001696,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0335; margin=0.0017,1,1,
Enterprises by type of supplier power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics,enterprises by type of supplier power asymmetry in the global value chain and nace rev.2 activity aggregate - experimental statistics,Other or multidisciplinary,0.033488,Energy,0.031791,0.001696,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0335; margin=0.0017,1,1,
Number of accidents at work by part of body injured and severity,number of accidents at work by part of body injured and severity,Other or multidisciplinary,0.033474,Transport and mobility,0.020519,0.012955,low,low_similarity_fallback,,,"Best profile: Crime, justice and safety; score=0.0335; margin=0.0130",1,1,
Parents spending enough time with children living with them,parents spending enough time with children living with them,Other or multidisciplinary,0.033149,Labour market,0.031217,0.001932,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0331; margin=0.0019",1,1,
Consumption footprint – single weighted score,consumption footprint – single weighted score,Other or multidisciplinary,0.033012,Housing and construction,0.0,0.033012,low,low_similarity_fallback,,,Best profile: Energy; score=0.0330; margin=0.0330,1,1,
First-time asylum applications of unaccompanied minors - % of total first-time asylum applications of minors,first-time asylum applications of unaccompanied minors - % of total first-time asylum applications of minors,Other or multidisciplinary,0.033006,Housing and construction,0.0,0.033006,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0330; margin=0.0330,1,1,
Enterprises using software solutions like CRM to analyse information about clients for marketing purposes,enterprises using software solutions like crm to analyse information about clients for marketing purposes,Other or multidisciplinary,0.032933,"Business, industry and trade",0.008082,0.024852,low,low_similarity_fallback,,,"Best profile: Science, technology and digital society; score=0.0329; margin=0.0249",1,1,
Soil sealing index,soil sealing index,Other or multidisciplinary,0.032875,Housing and construction,0.0,0.032875,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0329; margin=0.0329,1,1,
Money market interest rates,money market interest rates,Other or multidisciplinary,0.03274,"Business, industry and trade",0.03027,0.00247,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0327; margin=0.0025,1,1,
Gross weight of goods handled,gross weight of goods handled,Other or multidisciplinary,0.03264,Housing and construction,0.0,0.03264,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0326; margin=0.0326,1,1,
Corruption Perceptions Index,corruption perceptions index,Other or multidisciplinary,0.032246,Housing and construction,0.0,0.032246,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0322; margin=0.0322,1,1,
Private sector debt loans by sectors consolidated - million units of national currency,private sector debt loans by sectors consolidated - million units of national currency,Other or multidisciplinary,0.032194,Government and public finance,0.030126,0.002068,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0322; margin=0.0021,1,1,
Fatal accidents at work per 100 000 workers by sex,fatal accidents at work per 100 000 workers by sex,Other or multidisciplinary,0.031812,Transport and mobility,0.0195,0.012312,low,low_similarity_fallback,,,"Best profile: Crime, justice and safety; score=0.0318; margin=0.0123",1,1,
Incidence rate of accidents at work by type of workstation NACE Rev. 1.1 activity sex age and severity,incidence rate of accidents at work by type of workstation nace rev. 1.1 activity sex age and severity,Other or multidisciplinary,0.031546,Housing and construction,0.016688,0.014858,low,low_similarity_fallback,,,"Best profile: Crime, justice and safety; score=0.0315; margin=0.0149",1,1,
ECU/EUR exchange rates versus national currencies,ecu/eur exchange rates versus national currencies,Other or multidisciplinary,0.031536,Housing and construction,0.0,0.031536,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0315; margin=0.0315,1,1,
Financial sector leverage debt to equity non-consolidated - %,financial sector leverage debt to equity non-consolidated - %,Other or multidisciplinary,0.031482,Housing and construction,0.0,0.031482,low,low_similarity_fallback,,,Best profile: Government and public finance; score=0.0315; margin=0.0315,1,1,
Fresh water abstraction by source per capita - m³ per capita,fresh water abstraction by source per capita - m3 per capita,Other or multidisciplinary,0.031444,Housing and construction,0.0,0.031444,low,low_similarity_fallback,,,Best profile: Environment and climate; score=0.0314; margin=0.0314,1,1,
Aggregate replacement ratio for pensions excluding other social benefits by sex,aggregate replacement ratio for pensions excluding other social benefits by sex,Other or multidisciplinary,0.031068,Housing and construction,0.0,0.031068,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0311; margin=0.0311",1,1,
Total number of other vehicles (number),total number of other vehicles (number),Other or multidisciplinary,0.030995,Housing and construction,0.0,0.030995,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0310; margin=0.0310,1,4,
Total number of vehicles (number),total number of vehicles (number),Other or multidisciplinary,0.030995,Housing and construction,0.0,0.030995,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0310; margin=0.0310,1,6,
Ever-working women who have experienced sexual harassment at work by occurrence of the last episode,ever-working women who have experienced sexual harassment at work by occurrence of the last episode,Other or multidisciplinary,0.030961,Housing and construction,0.0,0.030961,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0310; margin=0.0310,1,1,
Private sector debt loans by sectors non-consolidated - million units of national currency,private sector debt loans by sectors non-consolidated - million units of national currency,Other or multidisciplinary,0.030861,Government and public finance,0.028879,0.001982,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0309; margin=0.0020,1,1,
Enterprises employing IVT participants by NACE Rev. 1.1 activity - % of all enterprises,enterprises employing ivt participants by nace rev. 1.1 activity - % of all enterprises,Other or multidisciplinary,0.030657,Housing and construction,0.019468,0.011189,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0307; margin=0.0112",1,1,
Enterprises employing IVT participants by NACE Rev. 2 activity - % of all enterprises,enterprises employing ivt participants by nace rev. 2 activity - % of all enterprises,Other or multidisciplinary,0.030657,Housing and construction,0.019468,0.011189,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0307; margin=0.0112",1,1,
Enterprises - number,enterprises - number,Other or multidisciplinary,0.030604,Housing and construction,0.0,0.030604,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0306; margin=0.0306",15,4232,
Stock of vehicles by category,stock of vehicles by category,Other or multidisciplinary,0.03059,Housing and construction,0.0,0.03059,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0306; margin=0.0306,1,1,
Hours spent in CVT courses by size class - hours per 1000 hours worked in all enterprises,hours spent in cvt courses by size class - hours per 1000 hours worked in all enterprises,Other or multidisciplinary,0.030528,"Business, industry and trade",0.01027,0.020259,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0305; margin=0.0203,1,1,
Private sector credit flow loans by sectors consolidated - million units of national currency,private sector credit flow loans by sectors consolidated - million units of national currency,Other or multidisciplinary,0.030113,Housing and construction,0.0,0.030113,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0301; margin=0.0301,1,1,
Estimated soil loss by water erosion by land cover type,estimated soil loss by water erosion by land cover type,Other or multidisciplinary,0.029965,"Agriculture, forestry and fisheries",0.019798,0.010167,low,low_similarity_fallback,,,Best profile: Environment and climate; score=0.0300; margin=0.0102,1,1,
Former euro area national currencies vs. euro/ECU - annual data,former euro area national currencies vs. euro/ecu - annual data,Other or multidisciplinary,0.029703,Housing and construction,0.0,0.029703,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0297; margin=0.0297,1,1,
HICP - food alcohol and tobacco,hicp - food alcohol and tobacco,Other or multidisciplinary,0.029486,Housing and construction,0.0,0.029486,low,low_similarity_fallback,,,"Best profile: Agriculture, forestry and fisheries; score=0.0295; margin=0.0295",1,1,
3-month-interest rate,3-month-interest rate,Other or multidisciplinary,0.029252,Labour market,0.024439,0.004813,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0293; margin=0.0048,1,1,
Private sector credit flow loans by sectors non-consolidated - million units of national currency,private sector credit flow loans by sectors non-consolidated - million units of national currency,Other or multidisciplinary,0.029014,Housing and construction,0.0,0.029014,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0290; margin=0.0290,1,1,
Obesity rate by body mass index BMI,obesity rate by body mass index bmi,Other or multidisciplinary,0.02871,Demography and population,0.01301,0.015701,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0287; margin=0.0157,1,1,
Private sector credit flow debt securities by sectors consolidated - million units of national currency,private sector credit flow debt securities by sectors consolidated - million units of national currency,Other or multidisciplinary,0.028645,Government and public finance,0.026806,0.00184,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0286; margin=0.0018,1,1,
Aggregate replacement ratio for pensions excluding other social benefits by sex - EU-SILC survey,aggregate replacement ratio for pensions excluding other social benefits by sex - eu-silc survey,Other or multidisciplinary,0.028395,Housing and construction,0.0,0.028395,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0284; margin=0.0284",1,1,
Selling prices of fresh eggs,selling prices of fresh eggs,Other or multidisciplinary,0.028338,Energy,0.015777,0.012561,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0283; margin=0.0126,1,1,
Estimated average age of young people leaving the parental household by sex,estimated average age of young people leaving the parental household by sex,Other or multidisciplinary,0.028128,Housing and construction,0.0,0.028128,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0281; margin=0.0281",1,1,
Selling prices of pigs light,selling prices of pigs light,Other or multidisciplinary,0.028071,Energy,0.015629,0.012442,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0281; margin=0.0124,1,1,
Annual value,annual value,Other or multidisciplinary,0.028064,Housing and construction,0.0,0.028064,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0281; margin=0.0281,2,143,
Share of GBAORD allocated to defence and total civil socio-economic objectives,share of gbaord allocated to defence and total civil socio-economic objectives,Other or multidisciplinary,0.028023,"Business, industry and trade",0.008466,0.019557,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0280; margin=0.0196,1,1,
Purchases of advertising space or time for resale,purchases of advertising space or time for resale,Other or multidisciplinary,0.027994,Housing and construction,0.0,0.027994,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0280; margin=0.0280,1,1,
Selling prices of soft wheat,selling prices of soft wheat,Other or multidisciplinary,0.027895,Energy,0.01553,0.012364,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0279; margin=0.0124,1,1,
Private sector credit flow debt securities by sectors non-consolidated - million units of national currency,private sector credit flow debt securities by sectors non-consolidated - million units of national currency,Other or multidisciplinary,0.027694,Government and public finance,0.025916,0.001779,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0277; margin=0.0018,1,1,
Common farmland bird index,common farmland bird index,Other or multidisciplinary,0.027652,Housing and construction,0.0,0.027652,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0277; margin=0.0277,1,1,
First-time asylum applicants - % of total asylum applicants,first-time asylum applicants - % of total asylum applicants,Other or multidisciplinary,0.027257,Housing and construction,0.0,0.027257,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0273; margin=0.0273,1,1,
Abortion rate,abortion rate,Other or multidisciplinary,0.026888,Labour market,0.022465,0.004424,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0269; margin=0.0044,2,60,
Inability to keep home adequately warm by NUTS regions,inability to keep home adequately warm by nuts regions,Other or multidisciplinary,0.026864,Tourism,0.0,0.026864,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0269; margin=0.0269,1,1,
Average number of weekly hours of formal care by age group - children with or without formal care - EU-SILC survey,average number of weekly hours of formal care by age group - children with or without formal care - eu-silc survey,Other or multidisciplinary,0.026765,Housing and construction,0.0,0.026765,low,low_similarity_fallback,,,Best profile: Health; score=0.0268; margin=0.0268,1,1,
Money market interest rates - annual data,money market interest rates - annual data,Other or multidisciplinary,0.026568,"Business, industry and trade",0.024564,0.002004,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0266; margin=0.0020,1,1,
Passengers transported by type of train speed,passengers transported by type of train speed,Other or multidisciplinary,0.026395,Housing and construction,0.0,0.026395,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0264; margin=0.0264,1,1,
Average number of weekly hours of other types of care by age group - children with or without other types of care - EU-SILC survey,average number of weekly hours of other types of care by age group - children with or without other types of care - eu-silc survey,Other or multidisciplinary,0.026326,Housing and construction,0.0,0.026326,low,low_similarity_fallback,,,Best profile: Health; score=0.0263; margin=0.0263,1,1,
Consumption of lightweight plastic carrier bags by their wall thickness,consumption of lightweight plastic carrier bags by their wall thickness,Other or multidisciplinary,0.026267,Housing and construction,0.0,0.026267,low,low_similarity_fallback,,,Best profile: Energy; score=0.0263; margin=0.0263,1,1,
Current level of capacity utilization (%),current level of capacity utilization (%),Other or multidisciplinary,0.025836,Housing and construction,0.0,0.025836,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0258; margin=0.0258,1,34,
Gender differences in the aggregate replacement ratio for pensions excluding other social benefits - EU-SILC survey,gender differences in the aggregate replacement ratio for pensions excluding other social benefits - eu-silc survey,Other or multidisciplinary,0.025821,Housing and construction,0.0,0.025821,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0258; margin=0.0258",2,2,
Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey,average number of weekly hours of formal care by age group - children with at least 1 hour of formal care - eu-silc survey,Other or multidisciplinary,0.025777,Housing and construction,0.0,0.025777,low,low_similarity_fallback,,,Best profile: Health; score=0.0258; margin=0.0258,1,1,
Hours spent in CVT courses by size class - hours per 1000 hours worked in enterprises providing CVT courses,hours spent in cvt courses by size class - hours per 1000 hours worked in enterprises providing cvt courses,Other or multidisciplinary,0.025671,"Business, industry and trade",0.008636,0.017035,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0257; margin=0.0170,1,1,
Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey,median number of weekly hours of formal care by age group - children with at least 1 hour of formal care - eu-silc survey,Other or multidisciplinary,0.025582,Housing and construction,0.0,0.025582,low,low_similarity_fallback,,,Best profile: Health; score=0.0256; margin=0.0256,1,1,
Grassland butterfly index - EU aggregate,grassland butterfly index - eu aggregate,Other or multidisciplinary,0.02553,Housing and construction,0.0,0.02553,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0255; margin=0.0255,1,1,
All valid permits by reason on 31 December of each year,all valid permits by reason on 31 december of each year,Other or multidisciplinary,0.025514,Tourism,0.0,0.025514,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0255; margin=0.0255,1,1,
Persons working as creative and performing artists authors journalists and linguists,persons working as creative and performing artists authors journalists and linguists,Other or multidisciplinary,0.025408,Housing and construction,0.0,0.025408,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0254; margin=0.0254,1,1,
Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey,average number of weekly hours of other types of care by age group - children with at least one hour of other types of care - eu-silc survey,Other or multidisciplinary,0.025384,Housing and construction,0.0,0.025384,low,low_similarity_fallback,,,Best profile: Health; score=0.0254; margin=0.0254,1,1,
Area of wooded land FAO FE,area of wooded land fao fe,Other or multidisciplinary,0.025312,Housing and construction,0.0,0.025312,low,low_similarity_fallback,,,"Best profile: Agriculture, forestry and fisheries; score=0.0253; margin=0.0253",1,1,
Services confidence indicator,services confidence indicator,Other or multidisciplinary,0.025215,Housing and construction,0.0,0.025215,low,low_similarity_fallback,,,Best profile: Health; score=0.0252; margin=0.0252,1,32,
Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey,median number of weekly hours of other types of care by age group - children with at least one hour of other types of care - eu-silc survey,Other or multidisciplinary,0.025198,Housing and construction,0.0,0.025198,low,low_similarity_fallback,,,Best profile: Health; score=0.0252; margin=0.0252,1,1,
External balance of goods and services current prices,external balance of goods and services current prices,Other or multidisciplinary,0.025103,Health,0.017979,0.007124,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0251; margin=0.0071,1,1,
Land covered by artificial surfaces - index,land covered by artificial surfaces - index,Other or multidisciplinary,0.025003,Economy and national accounts,0.024015,0.000988,low,low_similarity_fallback,,,"Best profile: Agriculture, forestry and fisheries; score=0.0250; margin=0.0010",1,1,
Children aged 0 to 17 not having indoor flushing toilet for the sole use of their household - EU-SILC survey,children aged 0 to 17 not having indoor flushing toilet for the sole use of their household - eu-silc survey,Other or multidisciplinary,0.024925,"Science, technology and digital society",0.02026,0.004665,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0249; margin=0.0047",1,1,
Consolidated banking leverage domestic and foreign entities asset-to-equity multiple,consolidated banking leverage domestic and foreign entities asset-to-equity multiple,Other or multidisciplinary,0.024222,"Crime, justice and safety",0.012443,0.01178,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0242; margin=0.0118,1,1,
Selling prices of sugar beet unit value,selling prices of sugar beet unit value,Other or multidisciplinary,0.024152,Housing and construction,0.022592,0.00156,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0242; margin=0.0016,1,1,
Asylum applicants by type - monthly data,asylum applicants by type - monthly data,Other or multidisciplinary,0.024122,Housing and construction,0.0,0.024122,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0241; margin=0.0241,1,1,
Trainsets and capacity by type of speed,trainsets and capacity by type of speed,Other or multidisciplinary,0.024121,Housing and construction,0.0,0.024121,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0241; margin=0.0241,1,1,
Deaths of residents related to dementias including Alzheimer,deaths of residents related to dementias including alzheimer,Other or multidisciplinary,0.024024,Housing and construction,0.0,0.024024,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0240; margin=0.0240,1,1,
Gross fixed capital formation volumes,gross fixed capital formation volumes,Other or multidisciplinary,0.023837,Housing and construction,0.0,0.023837,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0238; margin=0.0238,1,1,
Carrying capacity of pipelines operated,carrying capacity of pipelines operated,Other or multidisciplinary,0.023663,Housing and construction,0.0,0.023663,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0237; margin=0.0237,1,1,
Mean duration of commuting time one-way between work and home by sex and age,mean duration of commuting time one-way between work and home by sex and age,Other or multidisciplinary,0.023464,Housing and construction,0.021838,0.001627,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0235; margin=0.0016,1,1,
Gross fixed capital formation investments,gross fixed capital formation investments,Other or multidisciplinary,0.023256,Housing and construction,0.0,0.023256,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0233; margin=0.0233,1,1,
Formal child care by duration and age group,formal child care by duration and age group,Other or multidisciplinary,0.0232,Housing and construction,0.0,0.0232,low,low_similarity_fallback,,,Best profile: Health; score=0.0232; margin=0.0232,1,1,
Long-term residence permits issued during the year by age sex and citizenship,long-term residence permits issued during the year by age sex and citizenship,Other or multidisciplinary,0.023119,Tourism,0.0,0.023119,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0231; margin=0.0231,1,1,
Length of navigable inland waterways by waterway type,length of navigable inland waterways by waterway type,Other or multidisciplinary,0.022884,Housing and construction,0.0,0.022884,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0229; margin=0.0229,1,1,
Day-to-day money market interest rates,day-to-day money market interest rates,Other or multidisciplinary,0.022637,"Business, industry and trade",0.02093,0.001708,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0226; margin=0.0017,1,1,
Processors of organic products by NACE Rev. 2 activity C,processors of organic products by nace rev. 2 activity c,Other or multidisciplinary,0.022523,Tourism,0.013263,0.009259,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0225; margin=0.0093,1,1,
Jobs created by NACE Rev.2 activity - experimental statistics,jobs created by nace rev.2 activity - experimental statistics,Other or multidisciplinary,0.022202,Tourism,0.013074,0.009127,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0222; margin=0.0091,1,1,
Activity rates 15-64 years old by sex,activity rates 15-64 years old by sex,Other or multidisciplinary,0.022019,Tourism,0.012967,0.009052,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0220; margin=0.0091,1,1,
Common bird index by type of species - EU aggregate,common bird index by type of species - eu aggregate,Other or multidisciplinary,0.021904,Housing and construction,0.0,0.021904,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0219; margin=0.0219,1,1,
Correction coefficients in the European Union Countries - index = 100,correction coefficients in the european union countries - index = 100,Other or multidisciplinary,0.021834,Housing and construction,0.0,0.021834,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0218; margin=0.0218,1,1,
Balance of payments current account monthly data,balance of payments current account monthly data,Other or multidisciplinary,0.021635,Housing and construction,0.0,0.021635,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0216; margin=0.0216,1,1,
Selling prices of chickens live 1st choice,selling prices of chickens live 1st choice,Other or multidisciplinary,0.021503,Energy,0.011972,0.009531,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0215; margin=0.0095,1,1,
HICP - miscellaneous goods and services,hicp - miscellaneous goods and services,Other or multidisciplinary,0.021411,Housing and construction,0.0,0.021411,low,low_similarity_fallback,,,Best profile: Health; score=0.0214; margin=0.0214,1,1,
Total number of gasoline fueled vehicles (number),total number of gasoline fueled vehicles (number),Other or multidisciplinary,0.021334,Housing and construction,0.0,0.021334,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0213; margin=0.0213,1,5,
Balance of payments capital account monthly data,balance of payments capital account monthly data,Other or multidisciplinary,0.021251,Housing and construction,0.0,0.021251,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0213; margin=0.0213,1,1,
Enterprises by means of services supply and NACE rev.2 activity aggregate - experimental statistics,enterprises by means of services supply and nace rev.2 activity aggregate - experimental statistics,Other or multidisciplinary,0.020552,Housing and construction,0.017769,0.002783,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0206; margin=0.0028",1,1,
Distribution of households by activity status of the reference person - experimental statistics,distribution of households by activity status of the reference person - experimental statistics,Other or multidisciplinary,0.020103,Health,0.012677,0.007427,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0201; margin=0.0074,1,1,
Enterprises employing IVT participants by size class - % of all enterprises,enterprises employing ivt participants by size class - % of all enterprises,Other or multidisciplinary,0.019828,Housing and construction,0.0,0.019828,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0198; margin=0.0198",1,1,
Balance of payments current and capital account monthly data,balance of payments current and capital account monthly data,Other or multidisciplinary,0.01973,Housing and construction,0.0,0.01973,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0197; margin=0.0197,1,1,
Overcrowding rate by sex - EU-SILC survey,overcrowding rate by sex - eu-silc survey,Other or multidisciplinary,0.019184,Labour market,0.016028,0.003156,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0192; margin=0.0032,1,1,
Median saving rate by activity status of the reference person - experimental statistics,median saving rate by activity status of the reference person - experimental statistics,Other or multidisciplinary,0.018809,Economy and national accounts,0.014944,0.003865,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0188; margin=0.0039,1,1,
Correction coefficients in the European Union Duty stations - index Brussels = 100,correction coefficients in the european union duty stations - index brussels = 100,Other or multidisciplinary,0.018712,Housing and construction,0.0,0.018712,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0187; margin=0.0187,1,1,
New motor coaches buses and trolley buses by type of vehicles,new motor coaches buses and trolley buses by type of vehicles,Other or multidisciplinary,0.018512,Housing and construction,0.0,0.018512,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0185; margin=0.0185,1,1,
Enterprises sourcing abroad,enterprises sourcing abroad,Other or multidisciplinary,0.01841,Housing and construction,0.0,0.01841,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0184; margin=0.0184",1,1,
Value at the end of the period,value at the end of the period,Other or multidisciplinary,0.018198,Housing and construction,0.0,0.018198,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0182; margin=0.0182,5,70,
Navigable inland waterways by horizontal dimensions of vessels and pushed convoys,navigable inland waterways by horizontal dimensions of vessels and pushed convoys,Other or multidisciplinary,0.017994,Housing and construction,0.0,0.017994,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0180; margin=0.0180,1,1,
Aggregate propensity to consume by activity status of the reference person - experimental statistics,aggregate propensity to consume by activity status of the reference person - experimental statistics,Other or multidisciplinary,0.017911,Health,0.011294,0.006617,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0179; margin=0.0066,1,1,
Decisions granting temporary protection by citizenship age and sex - monthly data,decisions granting temporary protection by citizenship age and sex - monthly data,Other or multidisciplinary,0.017733,Housing and construction,0.0,0.017733,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0177; margin=0.0177,1,1,
Global pH value,global ph value,Other or multidisciplinary,0.01757,Housing and construction,0.0,0.01757,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0176; margin=0.0176,1,1,
